"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01001499999","2015-03-25","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.2","14","  29.9","14","9999.9"," 0","999.9"," 0","  6.2","14"," 12.1","14"," 18.1"," 24.1","  46.4","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2015-03-26","59.791925","5.34085","48.76","SORSTOKKEN, NO","  37.9","16","  26.8","16","9999.9"," 0","999.9"," 0","  5.5","16","  7.1","16"," 13.0","999.9","  41.0","*","  32.0","*","99.99"," ","999.9","011000"
"01001499999","2015-03-27","59.791925","5.34085","48.76","SORSTOKKEN, NO","  42.5","12","  34.2","12","9999.9"," 0","999.9"," 0","  6.2","12","  2.9","12","  6.0","999.9","  48.2","*","  37.4","*"," 0.00","I","999.9","000000"
"01001499999","2015-03-29","59.791925","5.34085","48.76","SORSTOKKEN, NO","  45.2"," 9","  38.0"," 9","9999.9"," 0","999.9"," 0","  6.2"," 9","  4.6"," 9","  8.9","999.9","  50.0","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2015-03-30","59.791925","5.34085","48.76","SORSTOKKEN, NO","  40.2","15","  35.7","15","9999.9"," 0","999.9"," 0","  6.2","15","  4.0","15","  9.9","999.9","  44.6","*","  35.6","*","99.99"," ","999.9","010000"
"01001499999","2015-03-31","59.791925","5.34085","48.76","SORSTOKKEN, NO","  37.9","14","  31.7","14","9999.9"," 0","999.9"," 0","  5.6"," 6","  6.1","14"," 12.0","999.9","  42.8","*","  33.8","*","99.99"," ","999.9","001000"
"01001499999","2015-04-01","59.791925","5.34085","48.76","SORSTOKKEN, NO","  38.5","13","  31.7","13","9999.9"," 0","999.9"," 0","  6.2","13"," 16.5","13"," 25.1"," 41.0","  42.8","*","  35.6","*","99.99"," ","999.9","011010"
"01001499999","2015-04-06","59.791925","5.34085","48.76","SORSTOKKEN, NO","  40.6","13","  38.2","13","9999.9"," 0","999.9"," 0","  4.9","13","  4.8","13","  7.0","999.9","  46.4","*","  35.6","*"," 0.00","I","999.9","100000"
"01001499999","2015-04-07","59.791925","5.34085","48.76","SORSTOKKEN, NO","  46.4","13","  44.7","13","9999.9"," 0","999.9"," 0","  5.4","13","  6.5","13","  9.9","999.9","  50.0","*","  42.8","*","99.99"," ","999.9","010000"
"01001499999","2015-04-08","59.791925","5.34085","48.76","SORSTOKKEN, NO","  45.4","14","  35.3","14","9999.9"," 0","999.9"," 0","999.9"," 0","  6.0","14","  8.0","999.9","  50.0","*","  39.2","*"," 0.00","I","999.9","000000"
"01001499999","2015-04-09","59.791925","5.34085","48.76","SORSTOKKEN, NO","  42.5","14","  39.7","14","9999.9"," 0","999.9"," 0","  5.4","14","  9.4","14"," 14.0","999.9","  42.8","*","  41.0","*","99.99"," ","999.9","010000"
"01001499999","2015-04-10","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.8","13","  41.0","13","9999.9"," 0","999.9"," 0","  6.1","13"," 11.4","13"," 14.0"," 19.0","  46.4","*","  41.0","*","99.99"," ","999.9","010000"
"01001499999","2015-04-12","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.7","10","  37.4","10","9999.9"," 0","999.9"," 0","  6.0","10"," 10.1","10"," 15.0"," 25.1","  48.2","*","  37.4","*","99.99"," ","999.9","011000"
"01001499999","2015-04-13","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.7","14","  28.7","14","9999.9"," 0","999.9"," 0","  6.2","14"," 13.0","14"," 22.0"," 33.0","  42.8","*","  35.6","*","99.99"," ","999.9","010000"
"01001499999","2015-04-14","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.5","13","  42.0","13","9999.9"," 0","999.9"," 0","  5.5","13"," 11.5","12"," 19.0","999.9","  46.4","*","  37.4","*","99.99"," ","999.9","010000"
"01001499999","2015-04-15","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.7","14","  41.1","14","9999.9"," 0","999.9"," 0","  6.1","14","  8.0","14"," 15.0"," 26.0","  50.0","*","  41.0","*","99.99"," ","999.9","010000"
"01001499999","2015-04-16","59.791925","5.34085","48.76","SORSTOKKEN, NO","  42.4","14","  35.7","14","9999.9"," 0","999.9"," 0","  6.2","14"," 10.4","14"," 17.1"," 22.9","  46.4","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2015-04-17","59.791925","5.34085","48.76","SORSTOKKEN, NO","  44.8","11","  35.4","11","9999.9"," 0","999.9"," 0","999.9"," 0","  6.3","11","  9.9","999.9","  50.0","*","  37.4","*"," 0.00","I","999.9","000000"
"01001499999","2015-04-19","59.791925","5.34085","48.76","SORSTOKKEN, NO","  54.1","10","  34.7","10","9999.9"," 0","999.9"," 0","999.9"," 0","  7.1","10"," 11.1","999.9","  59.0","*","  48.2","*"," 0.00","I","999.9","000000"
"01001499999","2015-04-20","59.791925","5.34085","48.76","SORSTOKKEN, NO","  52.5","13","  36.6","13","9999.9"," 0","999.9"," 0","999.9"," 0","  3.5","13","  9.9","999.9","  60.8","*","  41.0","*"," 0.00","I","999.9","000000"
"01001499999","2015-04-21","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.8","14","  38.8","14","9999.9"," 0","999.9"," 0","  5.8","13","  5.5","14"," 11.1","999.9","  48.2","*","  39.2","*"," 0.00","I","999.9","000000"
"01001499999","2015-04-22","59.791925","5.34085","48.76","SORSTOKKEN, NO","  48.2","13","  40.2","13","9999.9"," 0","999.9"," 0","  6.2","11","  7.2","13"," 11.1","999.9","  55.4","*","  39.2","*"," 0.00","I","999.9","000000"
"01001499999","2015-04-23","59.791925","5.34085","48.76","SORSTOKKEN, NO","  47.7","14","  40.7","14","9999.9"," 0","999.9"," 0","  5.9","14","  7.8","14"," 15.0"," 21.0","  51.8","*","  42.8","*"," 0.00","I","999.9","000000"
"01001499999","2015-04-24","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.1","12","  40.0","12","9999.9"," 0","999.9"," 0","  6.2","12","  4.8","12","  7.0","999.9","  42.8","*","  41.0","*","99.99"," ","999.9","010000"
"01001499999","2015-04-26","59.791925","5.34085","48.76","SORSTOKKEN, NO","  44.2","10","  36.3","10","9999.9"," 0","999.9"," 0","  6.2","10","  7.0","10"," 14.0"," 22.0","  48.2","*","  37.4","*"," 0.00","I","999.9","000000"
"01001499999","2015-04-27","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.6","14","  31.5","14","9999.9"," 0","999.9"," 0","  6.2","14","  7.7","14"," 17.1","999.9","  50.0","*","  37.4","*"," 0.00","I","999.9","000000"
"01001499999","2015-04-28","59.791925","5.34085","48.76","SORSTOKKEN, NO","  45.0","14","  30.6","13","9999.9"," 0","999.9"," 0","  6.2","10","  6.6","14","  9.9","999.9","  51.8","*","  35.6","*"," 0.00","I","999.9","000000"
"01001499999","2015-04-29","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.9","13","  34.4","13","9999.9"," 0","999.9"," 0","  6.2","13","  5.3","13","  9.9","999.9","  50.0","*","  37.4","*"," 0.00","I","999.9","000000"
"01001499999","2015-04-30","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.1","14","  37.1","14","9999.9"," 0","999.9"," 0","  6.2","14","  7.8","14"," 12.0","999.9","  42.8","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2015-05-03","59.791925","5.34085","48.76","SORSTOKKEN, NO","  53.3"," 7","  31.7"," 7","9999.9"," 0","999.9"," 0","  6.2"," 4","  9.1"," 7"," 13.0","999.9","  57.2","*","  50.0","*"," 0.00","I","999.9","000000"
"01001499999","2015-05-04","59.791925","5.34085","48.76","SORSTOKKEN, NO","  48.6","15","  39.2","15","9999.9"," 0","999.9"," 0","  6.2","15"," 12.3","15"," 15.9"," 21.0","  50.0","*","  44.6","*","99.99"," ","999.9","010000"
"01001499999","2015-05-05","59.791925","5.34085","48.76","SORSTOKKEN, NO","  53.9","14","  41.8","14","9999.9"," 0","999.9"," 0","  6.2"," 5"," 10.1","14"," 21.0"," 33.0","  59.0","*","  46.4","*","99.99"," ","999.9","010000"
"01001499999","2015-05-06","59.791925","5.34085","48.76","SORSTOKKEN, NO","  51.8","14","  42.9","14","9999.9"," 0","999.9"," 0","  6.2","14"," 15.2","14"," 18.1"," 33.0","  55.4","*","  50.0","*"," 0.00","I","999.9","000000"
"01001499999","2015-05-07","59.791925","5.34085","48.76","SORSTOKKEN, NO","  44.3","13","  41.7","13","9999.9"," 0","999.9"," 0","  6.1","13","  8.0","13"," 12.0"," 21.0","  48.2","*","  42.8","*","99.99"," ","999.9","010000"
"01001499999","2015-05-08","59.791925","5.34085","48.76","SORSTOKKEN, NO","  45.0","15","  36.4","15","9999.9"," 0","999.9"," 0","  6.2","14","  9.5","15"," 15.0"," 24.1","  50.0","*","  37.4","*","99.99"," ","999.9","010000"
